item_name,Text,Type,Answers,Values,Optional,score: env_bel,btn_width,side_text,side_width,
env_bel11,The consequences of global warming will be more positive than negative overall.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,r1,50px,Completely Disagree|Completely Agree,200px,
env_bel12,There are limited global resources.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel13,"As an individual, I must do what I can to prevent climate change.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel14,Buisness and industry is contributing to climate change through their emissions.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel15,"Burning of fossil fuels for transport contributes to climate change, therefore reducing fuel consumption is good for the environment.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel16,Reducing energy consumption by using energy saving lightbulbs (as well as other energy saving devises and methods) is bad for the environment.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,r1,50px,Completely Disagree|Completely Agree,200px,
env_bel17,"Reducing energy consumption (heating, electricity etc.) is good for the environment.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel18,Using renewable energy sources is good for the environment.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel19,Taking fewer flights and/or offsetting your flights is good for the environment.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel20,Saving water is good for the environment.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel21,Avoiding products with packaging is better for the environment than using packaged products.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel22,"Buying items with no packaging is good for the environment. ",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel23,Buying products made of recycled materials is good for the environment.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel24,"Buying products made of sustainable, natural or biodegradable materials is good for the environment.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel25,Recycling is good for the environment.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel26,Composting food waste (for example at home) is better for the environment than putting it in landfills.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel27,Reusing household items is good for the environment (Such as repurposing waste items or fixing damaged items).,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel28,"Purchasing second hand goods like furniture, clothing and other household items and appliances helps reduce waste.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel29,"It's good for the environment to use reusable products rather than single use products (such as mugs, cutlery, water bottles and bags).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel30,"Products with toxic chemicals are bad for the environment (for example; toiletries, cosmetics, aerosols).",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel31,Home grown or locally grown/farmed food is good for  the environment.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel32,Produce that is in season (grown and sold when harvested at its peak time) is good for the environment.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel33,It's important to make sure to dispose of your recycling and waste when you're out of the house responsibly.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel34,"Sustainably disposing of waste that is unable to be recycled is important for the environment (for example; using terracycling, where one sends away such waste products to a waste management company). ",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel35,It's good to buy fair trade and sustainably sourced food.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel36,Donating and selling clothes and furniture is good for the environment (rather than disposing of them).,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel37,Wasting food is bad for the environment.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel38,"Eating less animal products (i.e dairy, poultry, fish etc.) is good for the environment.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel39,"Eating sustainably sourced animal products (i.e sustainably sourced dairy, poultry, fish etc.) is good for the environment.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel40,"Organic products (for example; food, toiletries, cosmetics) are better for the environment.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel41,Purchasing goods and products from smaller local or independent businesses rather than large corperations is good for the environment.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_anxiety,<br><br><br>How anxious do you feel about the issues above?,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,,50px,Not at all|Extremely,,
,,,,,,,,,,
